parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
48670,122464,27,,Agaristinae
122464,84334,20,,Eudryas
84334,84333,10,305,Eudryas grata
84334,219719,10,409,Eudryas unio
122464,63817,20,,Alypia
63817,84950,10,392,Alypia octomaculata
122464,60779,20,,Psychomorpha
60779,60774,10,534,Psychomorpha epimenis
48670,122440,27,,Eustrotiinae
122440,177323,20,,Lithacodia
177323,223965,10,367,Lithacodia musta
122440,52007,20,,Maliattha
52007,211012,10,762,Maliattha synochitis
122440,143182,20,,Marimatha
143182,143181,10,877,Marimatha nigrofimbria
122440,124474,20,,Protodeltote
124474,228855,10,949,Protodeltote muscosula
48670,122535,27,,Heliothinae
122535,82496,20,,Schinia
82496,143316,10,402,Schinia florida
82496,143196,10,507,Schinia arcigera
122535,83810,20,,Helicoverpa
83810,118492,10,488,Helicoverpa zea
48670,122435,27,,Acontiinae
122435,499842,25,,Acontiini
499842,143593,20,,Spragueia
143593,143592,10,557,Spragueia leo
499842,212042,20,,Ponometia
212042,228634,10,916,Ponometia erastrioides
48670,122478,27,,Amphipyrinae
122478,122194,25,,Amphipyrini
122194,119341,20,,Amphipyra
119341,119340,10,604,Amphipyra pyramidoides
48670,122459,27,,Pantheinae
122459,176101,20,,Panthea
176101,226910,10,709,Panthea furcilla
122459,148462,20,,Charadra
148462,148460,10,741,Charadra deridens
48670,122484,27,,Cuculliinae
122484,61971,20,,Cucullia
61971,122261,10,933,Cucullia convexipennis
47607,121850,30,,Erebidae
121850,47606,27,,Arctiinae
47606,122121,25,,Syntomini
122121,127110,20,,Syntomoides
127110,122956,10,7,Syntomoides imaon
47606,82089,25,,Arctiini
82089,82113,24,,Phaegopterina
82113,67692,20,,Lophocampa
67692,82225,10,31,Lophocampa caryae
67692,67691,10,266,Lophocampa maculata
82113,119042,20,,Cycnia
119042,143043,10,401,Cycnia tenera
82113,120218,20,,Halysidota
120218,126397,10,453,Halysidota harrisii
120218,120217,10,695,Halysidota tessellaris
82113,81678,20,,Euchaetes
81678,81677,10,979,Euchaetes egle
82089,123834,24,,Spilosomina
123834,63030,20,,Hypercompe
63030,63028,10,53,Hypercompe scribonia
123834,59676,20,,Pyrrharctia
59676,59675,10,290,Pyrrharctia isabella
123834,60840,20,,Spilosoma
60840,60839,10,451,Spilosoma virginica
123834,143116,20,,Phragmatobia
143116,143114,10,498,Phragmatobia fuliginosa
123834,127135,20,,Hyphantria
127135,127133,10,544,Hyphantria cunea
123834,121613,20,,Estigmene
121613,121612,10,827,Estigmene acrea
82089,82091,24,,Arctiina
82091,119861,20,,Apantesis
119861,135318,10,61,Apantesis phalerata
119861,606580,10,589,Apantesis virgo
119861,321458,10,661,Apantesis ornata
119861,321459,10,834,Apantesis proxima
82091,68331,20,,Arctia
68331,336697,10,89,Arctia villica
68331,626880,10,316,Arctia virginalis
68331,68330,10,370,Arctia caja
82091,179345,20,,Euplagia
179345,118936,10,543,Euplagia quadripunctaria
82089,82099,24,,Callimorphina
82099,67441,20,,Utetheisa
67441,1522883,15,,Utetheisa
1522883,67440,10,240,Utetheisa ornatrix
82099,84039,20,,Haploa
84039,84038,10,263,Haploa lecontei
84039,126106,10,408,Haploa clymene
84039,130821,10,977,Haploa confusa
82099,55695,20,,Tyria
55695,51781,10,835,Tyria jacobaeae
82089,82101,24,,Ctenuchina
82101,63795,20,,Ctenucha
63795,119013,10,556,Ctenucha virginica
82101,119554,20,,Cisseps
119554,119789,10,651,Cisseps fulvicollis
82089,82098,24,,Pericopina
82098,123435,20,,Nyctemera
123435,348515,10,578,Nyctemera annulata
47606,82092,25,,Lithosiini
82092,124000,24,,Cisthenina
124000,128952,20,,Lycomorpha
128952,128950,10,743,Lycomorpha pholus
124000,119954,20,,Hypoprepia
119954,119953,10,856,Hypoprepia fucosa
124000,81673,20,,Clemensia
81673,81672,10,978,Clemensia albata
121850,122479,27,,Herminiinae
122479,178404,20,,Phalaenophana
178404,178403,10,10,Phalaenophana pyramusalis
122479,129227,20,,Chytolita
129227,129226,10,60,Chytolita morbidalis
122479,173334,20,,Bleptina
173334,215271,10,171,Bleptina caradrinalis
122479,133639,20,,Zanclognatha
133639,133625,10,321,Zanclognatha jacchusalis
133639,143012,10,478,Zanclognatha pedipilalis
122479,52903,20,,Palthis
52903,52902,10,479,Palthis asopialis
52903,128242,10,677,Palthis angulalis
122479,127462,20,,Idia
127462,119066,10,565,Idia lubricalis
127462,127457,10,596,Idia americalis
127462,127460,10,597,Idia aemula
122479,146751,20,,Lascoria
146751,146750,10,921,Lascoria ambigualis
121850,122500,27,,Eulepidotinae
122500,332470,25,,Panopodini
332470,173107,20,,Anticarsia
173107,213809,10,86,Anticarsia gemmatalis
332470,143524,20,,Panopoda
143524,226901,10,707,Panopoda rufimargo
121850,122474,27,,Pangraptinae
122474,124242,20,,Pangrapta
124242,226889,10,180,Pangrapta decoralis
121850,122441,27,,Scoliopteryginae
122441,134079,25,,Scoliopterygini
134079,134075,20,,Scoliopteryx
134075,134078,10,202,Scoliopteryx libatrix
121850,122426,27,,Erebinae
122426,121541,25,,Catocalini
121541,83842,20,,Catocala
83842,132881,10,224,Catocala ultronia
83842,1074764,11,,Catocala ilia-complex
1074764,128517,10,700,Catocala ilia
83842,199169,10,985,Catocala maestosa
122426,121568,25,,Omopterini
121568,84603,20,,Zale
84603,84602,10,341,Zale lunata
84603,233933,10,591,Zale horrida
122426,121547,25,,Melipotini
121547,177071,20,,Melipotis
177071,224855,10,466,Melipotis indomita
122426,121521,25,,Poaphilini
121521,118532,20,,Parallelia
118532,118531,10,497,Parallelia bistriaris
122426,121562,25,,Thermesiini
121562,61504,20,,Ascalapha
61504,61503,10,526,Ascalapha odorata
122426,121535,25,,Euclidiini
121535,52901,20,,Caenurgina
52901,52900,10,747,Caenurgina crassiuscula
52901,126640,10,758,Caenurgina erechtea
121850,122490,27,,Calpinae
122490,85262,25,,Calpini
85262,125479,20,,Plusiodonta
125479,125475,10,326,Plusiodonta compressipalpis
121850,48847,27,,Lymantriinae
48847,82042,25,,Orgyiini
82042,49031,20,,Orgyia
49031,61910,10,377,Orgyia antiqua
49031,199438,10,378,Orgyia postica
49031,61908,10,593,Orgyia vetusta
49031,81665,10,976,Orgyia leucostigma
48847,82039,25,,Lymantriini
82039,48848,20,,Lymantria
48848,1552378,15,,Porthetria
1552378,47802,10,842,Lymantria dispar
121850,122431,27,,Rivulinae
122431,81675,20,,Rivula
81675,81674,10,433,Rivula propinqualis
121850,122457,27,,Hypeninae
122457,82202,20,,Hypena
82202,118513,10,492,Hypena scabra
82202,143125,10,501,Hypena madefactalis
82202,82201,10,737,Hypena baltimoralis
47607,47718,30,,Notodontidae
47718,122429,27,,Phalerinae
